rank,plant_id,flag_months,first_flag,last_flag,dominant_reason,mwh_at_stake,longest_run,mwh_at_stake_last24m,plant_name,state,ba,operator,nameplate_mw,e_rated_mwh,duration_h,dur_band,cod_year,chem,enclosure,hybrid,hybrid_reasons,eta_true,P_aux_mw,cum_efc,throughput_used,P_aux_pct_nameplate,warranty_headroom,implausible_e_rated,conviction_tier
1,66694,3,2025-10,2025-12,FULL_OUTAGE,101856.5,3,101856.5,Atrisco Energy Storage,NM,PNM,Atrisco Energy Storage LLC,300.0,1200.0,4.0,2.5-4.5h,2024.0,LIB,CS,True,rte_gt_1,0.8920057884745841,-4.902805312951844,287.5625,0.047927083333333335,-1.6342684376506145,0.9520729166666667,False,C
2,65857,30,2023-07,2025-12,ELEVATED_P_AUX,81894.0972659075,30,50325.304508411886,Sunlight Storage,CA,CISO,"Sunlight Storage, LLC",230.0,920.0,4.0,2.5-4.5h,2022.0,LIB,CS,False,,0.9399172460218913,3.3806887237050796,652.2358695652174,0.10870597826086957,1.4698646624804694,0.8912940217391304,False,A
3,260,31,2021-10,2025-12,LOW_ETA_AND_LOW_UTI,46934.0,12,26373.5,Dynegy Moss Landing Power Plant Hybrid,CA,CISO,Dynegy -Moss Landing LLC,750.0,3000.0,4.0,2.5-4.5h,2021.9333333333334,LIB,BL,True,rte_gt_1,0.7972132906763183,-1.1220906748874337,849.7955416666666,0.14163259027777778,-0.14961208998499118,0.8583674097222223,False,C
4,63834,4,2023-05,2025-12,PARTIAL_AVAILABILITY,30385.0,2,25184.0,Gateway Energy Storage System,CA,CISO,"Gateway Energy Storage, LLC",250.0,1000.0,4.0,2.5-4.5h,2020.0,LIB,BL,False,,0.8680103750325272,0.40043973086969004,1994.9877142857142,0.33249795238095237,0.160175892347876,0.6675020476190476,False,B
5,66575,21,2024-04,2025-12,ELEVATED_P_AUX,20096.65918682955,21,20096.65918682955,Sunlight Storage II,CA,CISO,Sunlight Storage II,230.0,920.0,4.0,2.5-4.5h,2024.0,LIB,CS,False,,0.992775620400551,6.376503458049694,559.7184782608696,0.09328641304347826,2.7723928078476927,0.9067135869565217,False,A
6,65980,17,2023-06,2025-09,THERMAL_AUX,19149.080321500634,4,16558.720214333756,CED West Side Canal Battery Storage,CA,CISO,RWE Clean Energy,131.0,524.0,4.0,2.5-4.5h,2023.0,LIB,CS,False,,0.8401643182006256,0.6083308736590833,632.2614503816794,0.10537690839694656,0.46437471271685754,0.8946230916030534,False,A
7,65744,3,2024-12,2025-02,PARTIAL_AVAILABILITY,13366.0,3,13366.0,Arica Solar,CA,CISO,"Arica Solar, LLC",136.0,544.0,4.0,2.5-4.5h,2024.0,LIB,CT,True,pv_same_plant,0.8259467933237654,-0.3466011772763532,500.89889705882354,0.08348314950980393,-0.25485380682084796,0.916516850490196,False,C
8,58462,4,2024-07,2024-11,PARTIAL_AVAILABILITY,12543.5,2,12543.5,McCoy Solar Energy Project Hybrid,CA,CISO,"McCoy Solar, LLC",230.0,920.0,4.0,2.5-4.5h,2021.0,LIB,CS,True,pv_same_plant,0.9281652061946533,0.6153964778355223,1076.6065217391304,0.17943442028985507,0.2675636860154445,0.820565579710145,False,C
9,65491,13,2024-12,2025-12,ELEVATED_P_AUX,12502.84206208576,13,12502.84206208576,Paleo,TX,ERCO,Engie North America,200.0,200.0,1.0,<1.5h,2024.0,LIB,CS,False,,0.9896490506138483,2.072329271436852,532.765,0.08879416666666666,1.036164635718426,0.9112058333333334,False,A
10,64852,4,2024-04,2025-12,PARTIAL_AVAILABILITY,12343.5,2,12343.5,Daggett 3,CA,CISO,Daggett Solar Power 3 LLC,149.0,4.6,0.030872483221476506,<1.5h,2023.0,LIB,CS,True,pv_same_plant,0.9108473361993463,-0.20654410791605632,77804.34782608696,12.967391304347826,-0.13862020665507135,0.0,True,C
11,65672,3,2024-12,2025-02,PARTIAL_AVAILABILITY,10710.0,3,10710.0,Sanborn BESS 3,CA,CISO,Terra-Gen Operating Co-BESS,169.0,676.0,4.0,2.5-4.5h,2023.0,LIB,CS,False,,0.8762478477094194,0.16185355895801473,710.491124260355,0.11841518737672584,0.09577133666154718,0.8815848126232741,False,A
12,66502,36,2023-01,2025-12,THERMAL_AUX,16005.701335081641,36,10675.335470752445,Valley Center 54,CA,CISO,Terra-Gen Operating Co-BESS 2,54.0,216.0,4.0,2.5-4.5h,2021.0,LIB,CS,False,,0.9107852012398823,0.7194810158283352,919.8858024691358,0.15331430041152264,1.3323722515339542,0.8466856995884774,False,A
13,66067,4,2024-10,2025-02,PARTIAL_AVAILABILITY,9116.0,2,9116.0,Kapolei Energy Storage,HI,HECO,"Kapolei Energy Storage I, LLC",185.0,565.0,3.054054054054054,2.5-4.5h,2023.0,LIB,CS,False,,0.9392672606481408,0.844044557157514,667.5274336283186,0.11125457227138644,0.45624030116622377,0.8887454277286135,False,B
14,67860,21,2024-04,2025-12,ELEVATED_P_AUX,8814.905019498126,21,8814.905019498126,GFTX BESS,TX,ERCO,Giga Texas Energy LLC,125.0,250.0,2.0,1.5-2.5h,2024.0,OTH,CS,False,,0.951635631474143,1.3418678052957356,509.012,0.08483533333333333,1.0734942442365885,0.9151646666666666,False,A
15,63172,6,2024-04,2025-05,PARTIAL_AVAILABILITY,8531.0,2,8531.0,Arroyo Solar Energy Storage Hybrid,NM,PNM,Arroyo Solar LLC,150.0,600.0,4.0,2.5-4.5h,2023.0,LIB,CS,True,pv_same_plant,0.9659420577996153,1.4481316157431845,745.405,0.12423416666666666,0.965421077162123,0.8757658333333334,False,C
16,64312,51,2021-10,2025-12,THERMAL_AUX,18031.914578104814,51,8487.655863872904,Bat Cave,TX,ERCO,Engie North America,100.0,110.0,1.1,<1.5h,2021.0,LIB,CS,False,,0.8516246884092873,0.6893328137330095,1779.8272727272727,0.2966378787878788,0.6893328137330095,0.7033621212121213,False,A
17,61801,16,2024-09,2025-12,ELEVATED_P_AUX,7871.373738746339,16,7871.373738746339,"Cascade Energy Storage, LLC",CA,CISO,Engie North America,25.0,100.0,4.0,2.5-4.5h,2024.0,LIB,CS,False,,0.9495810230811547,0.4176993331819093,315.5,0.052583333333333336,1.6707973327276373,0.9474166666666667,False,A
18,60641,24,2024-01,2025-12,ELEVATED_P_AUX,7858.189485611318,24,7858.189485611318,Henrietta D Energy Storage LLC,CA,CISO,Convergent Energy and Power LP,10.0,40.0,4.0,2.5-4.5h,2021.0,LIB,CS,False,,0.8845186131202828,0.10351252590484777,636.6208333333334,0.10610347222222223,1.0351252590484776,0.8938965277777777,False,A
19,63737,8,2021-10,2025-12,THERMAL_AUX,7476.111743545533,3,7279.686699592777,Chisholm Grid Energy Storage System,TX,ERCO,"Chisholm Grid, LLC",100.0,125.0,1.25,<1.5h,2021.0,LIB,CS,False,,0.9421974299855146,0.29450091756459157,2070.704,0.3451173333333334,0.29450091756459157,0.6548826666666666,False,A
20,66050,4,2024-10,2025-12,PARTIAL_AVAILABILITY,7064.0,2,7064.0,Lancaster Area Battery,CA,CISO,AES Distributed Energy,127.0,508.0,4.0,2.5-4.5h,2022.0,LIB,CT,False,,0.9127393605921882,0.8558384453970787,969.8838582677165,0.16164730971128607,0.6738885396827391,0.838352690288714,False,B
21,66500,36,2023-01,2025-12,THERMAL_AUX,8222.438006911254,36,6894.318919015459,Valley Center 85,CA,CISO,Terra-Gen Operating Co-BESS 2,85.0,212.0,2.4941176470588236,1.5-2.5h,2021.0,LIB,CS,False,,0.8061599827573263,0.22091255835788615,1169.7299528301887,0.19495499213836479,0.25989712747986604,0.8050450078616352,False,A
22,65489,2,2025-01,2025-02,FULL_OUTAGE,6616.161616161616,2,6616.161616161616,Dickens,TX,ERCO,Engie North America,200.0,200.0,1.0,<1.5h,2024.0,LIB,CS,False,,0.9098030841735583,-0.26797990610895517,600.24,0.10004,-0.13398995305447758,0.89996,False,B
23,65490,2,2025-01,2025-02,FULL_OUTAGE,6616.161616161616,2,6616.161616161616,Hydra,TX,ERCO,Engie North America,200.0,200.0,1.0,<1.5h,2024.0,LIB,CS,False,,0.9301273328229928,0.7322451438252376,923.46,0.15391000000000002,0.3661225719126188,0.84609,False,B
24,65673,26,2023-11,2025-12,ELEVATED_P_AUX,6319.5133288954885,26,6319.5133288954885,Sanborn BESS 4,CA,CISO,Terra-Gen Operating Co-BESS,47.0,188.0,4.0,2.5-4.5h,2023.0,LIB,CS,False,,0.9529212000748494,0.6339005470765795,675.031914893617,0.11250531914893616,1.3487245682480413,0.8874946808510639,False,A
25,63849,23,2024-02,2025-12,ELEVATED_P_AUX,6090.5,23,6090.5,Chestnut,CA,CISO,Chestnut Westside LLC,135.0,540.0,4.0,2.5-4.5h,2023.0,LIB,CS,True,pv_same_plant,0.950659773562823,1.6300870229060789,743.7837962962963,0.12396396604938272,1.2074718688193178,0.8760360339506172,False,C
26,64317,51,2021-10,2025-12,THERMAL_AUX,11067.975754476294,51,5846.235802265813,North Fork TX,TX,ERCO,Engie North America,100.0,110.0,1.1,<1.5h,2021.0,LIB,CS,False,,0.8055161029364404,0.4088053401327177,1796.1272727272726,0.29935454545454543,0.4088053401327177,0.7006454545454546,False,A
27,65933,21,2023-05,2025-09,THERMAL_AUX,8629.917204268717,8,5834.6001235897,Sagebrush ESS,CA,CISO,Terra-Gen Operating Co-BESS 2,80.0,320.0,4.0,2.5-4.5h,2023.0,LIB,CS,False,,0.8332022086053114,0.3717349587765357,557.271875,0.09287864583333334,0.4646686984706696,0.9071213541666666,False,A
28,62562,23,2023-06,2025-12,FULL_OUTAGE,6403.153623422582,19,5803.464530938667,"High Lonesome Wind Power, LLC Hybrid",TX,ERCO,"High Lonesome Wind Power, LLC",63.3,81.0,1.2796208530805688,<1.5h,2023.0,LIB,CS,False,,0.8639798047182689,0.255185379207332,223.22222222222223,0.037203703703703704,0.4031364600431785,0.9627962962962963,False,A
29,66616,10,2023-07,2025-08,THERMAL_AUX,7860.628960382799,4,5497.302606280781,Wolf Tank Storage,TX,ERCO,Wolf Tank Storage LLC,150.0,150.0,1.0,<1.5h,2023.0,LIB,CS,False,,0.9211494406899783,1.3786575304106936,742.12,0.12368666666666667,0.9191050202737958,0.8763133333333333,False,A
30,67721,14,2024-11,2025-12,ELEVATED_P_AUX,5433.328935466256,14,5433.328935466256,Al Pastor Battery Storage Plant,TX,ERCO,Al Pastor BESS LLC,100.3,145.0,1.4456630109670987,<1.5h,2023.9999999999998,LIB,CS,False,,0.9094796584125201,1.0149820452927065,349.46206896551723,0.05824367816091954,1.0119462066726885,0.9417563218390804,False,A
31,64164,12,2025-01,2025-12,ELEVATED_P_AUX,5173.042810381041,12,5173.042810381041,"Azure Sky Wind Project, LLC Hybrid",TX,ERCO,"Azure Sky Wind Project, LLC",120.0,190.0,1.5833333333333333,1.5-2.5h,2023.0,LIB,CS,False,,0.9121999309868798,1.3113723805506685,304.7052631578947,0.050784210526315786,1.092810317125557,0.9492157894736842,False,A
32,63685,2,2024-03,2024-04,PARTIAL_AVAILABILITY,5083.0,2,5083.0,Luna Storage,CA,CISO,AES Distributed Energy,100.0,400.0,4.0,2.5-4.5h,2022.0,LIB,CT,False,,0.8870416551308891,0.5480630725778244,1072.15,0.1786916666666667,0.5480630725778244,0.8213083333333333,False,B
33,64713,50,2021-11,2025-12,ELEVATED_P_AUX,8546.179457437791,50,5079.994188070588,Sanborn BESS 2,CA,CISO,Terra-Gen Operating Co-BESS,100.0,400.0,4.0,2.5-4.5h,2021.0,LIB,CS,False,,0.9206950837408592,1.28828179895641,1397.955,0.2329925,1.28828179895641,0.7670075000000001,False,A
34,62734,36,2023-01,2025-12,ELEVATED_P_AUX,5206.620786641405,36,5026.3077311514835,Montauk Energy Storage Center,NY,NYIS,"Montauk Energy Storage Center, LLC",5.0,40.0,8.0,>4.5h,2019.0,LIB,BL,False,,0.9170981190751849,0.060909469115811056,698.95,0.11649166666666667,1.218189382316221,0.8835083333333333,False,A
35,66408,2,2025-09,2025-10,PARTIAL_AVAILABILITY,4772.0,2,4772.0,Buena Vista Energy Center,NM,EPE,"Buena Vista Energy Center, LLC",50.0,200.0,4.0,2.5-4.5h,2023.0,LIB,CS,True,"pv_same_plant,dc_coupled",0.8941620414090894,-0.0025049472095796826,439.2625,0.07321041666666667,-0.005009894419159365,0.9267895833333333,False,C
36,66338,2,2025-05,2025-06,PARTIAL_AVAILABILITY,4373.0,2,4373.0,Callisto I Energy Center,TX,ERCO,Callisto I Energy Center,223.4,200.0,0.8952551477170994,<1.5h,2024.0,LIB,CS,False,,0.8497120385503208,-0.11921773143986068,815.275,0.13587916666666666,-0.05336514388534498,0.8641208333333333,False,B
37,66627,2,2024-08,2024-09,PARTIAL_AVAILABILITY,4253.0,2,4253.0,Sonoran Solar Energy,AZ,SRP,"Sonoran Solar Energy, LLC",260.0,1040.0,4.0,2.5-4.5h,2023.0,LIB,CS,True,pv_same_plant,0.8886032643414276,0.21387714637607894,810.5596153846154,0.13509326923076923,0.08226044091387652,0.8649067307692307,False,C
38,63727,13,2022-04,2025-09,FULL_OUTAGE,19185.314375,9,4250.0,Slate Hybrid,CA,CISO,MN8 Energy LLC,140.3,561.0,3.9985744832501777,2.5-4.5h,2021.9999999999998,LIB,CS,True,"colocated_firming,pv_same_plant",0.8723909701245726,0.47226202388126515,826.5044563279857,0.13775074272133095,0.33660871267374565,0.8622492572786691,False,C
39,62561,21,2024-04,2025-12,FULL_OUTAGE,4124.5,21,4124.5,"Roadrunner, LLC Hybrid",TX,ERCO,"Roadrunner Solar, LLC",63.3,108.6,1.7156398104265402,1.5-2.5h,2023.0,LIB,CS,True,pv_same_plant,,,94.66850828729282,0.015778084714548803,,0.9842219152854512,False,C
40,57242,9,2023-12,2025-12,PARTIAL_AVAILABILITY,4231.5,5,4006.5,Mililani South Solar Farm,HI,,Mililani I Solar LLC,39.0,156.0,4.0,2.5-4.5h,2022.0,LIB,CS,True,"rte_gt_1,pv_same_plant",0.9212717715491572,0.06797783880889584,621.8461538461538,0.10364102564102563,0.1743021507920406,0.8963589743589744,False,C
41,61365,2,2025-09,2025-10,LOW_ETA_AND_LOW_UTI,3914.4014778325122,2,3914.4014778325122,Fallbrook Energy Storage,CA,CISO,San Diego Gas & Electric Co,40.0,40.0,1.0,<1.5h,2023.0,LIB,CS,False,,0.8329299128899332,0.20465514576064534,2347.275,0.3912125,0.5116378644016133,0.6087875,False,B
42,66333,18,2024-07,2025-12,ELEVATED_P_AUX,3869.737840472366,18,3869.737840472366,Superstition Energy Storage,AZ,SRP,"Superstition Energy Storage, LLC",90.0,360.0,4.0,2.5-4.5h,2024.0,LIB,CS,False,,0.9484135423081004,1.0705107751575669,470.1277777777778,0.07835462962962964,1.189456416841741,0.9216453703703704,False,A
43,67579,2,2025-09,2025-10,PARTIAL_AVAILABILITY,3680.0,2,3680.0,AES ES Alamitos 2 LLC,CA,CISO,AES Clean Energy,82.0,328.0,4.0,2.5-4.5h,2024.0,LIB,CS,False,,0.888687045468851,0.058031556462244754,260.3628048780488,0.04339380081300813,0.07077019080761555,0.9566061991869919,False,B
44,66574,15,2024-10,2025-12,ELEVATED_P_AUX,3497.0,15,3497.0,San Juan Solar I,NM,PNM,"San Juan Solar I, LLC",100.0,561.4,5.614,>4.5h,2024.0,LIB,CS,True,pv_same_plant,0.9716411762019379,1.7546850181851754,253.61061631635198,0.04226843605272533,1.7546850181851754,0.9577315639472747,False,C
45,67236,10,2024-06,2025-09,THERMAL_AUX,3099.239266682337,4,3099.239266682337,Anemoi Energy Storage,TX,ERCO,"Anemoi Energy Storage, LLC",200.0,400.0,2.0,1.5-2.5h,2024.0,LIB,CS,False,,0.8306417900368726,0.7959404471173153,398.85,0.066475,0.39797022355865763,0.9335249999999999,False,A
46,65700,30,2023-07,2025-12,THERMAL_AUX,3476.1446344910646,30,3097.7715516498984,TX21 River Valley Storage 2,TX,ERCO,Key Capture Energy,50.0,107.0,2.14,1.5-2.5h,2023.0,LIB,CS,False,,0.8356688524124009,0.1884524603421713,475.3644859813084,0.07922741433021807,0.3769049206843426,0.9207725856697819,False,A
47,63458,4,2025-01,2025-04,FULL_OUTAGE,2868.0,4,2868.0,Rush Springs Energy Storage (BA),OK,SWPP,Rush Springs Energy Storage,10.0,20.0,2.0,1.5-2.5h,2020.0,FLB,CS,False,,0.9027720491479634,0.050926186736431116,1086.25,0.18104166666666666,0.5092618673643112,0.8189583333333333,False,A
48,61098,4,2023-12,2025-09,PARTIAL_AVAILABILITY,3277.5,2,2817.5,Battle Mountain Solar Project,NV,NEVP,RWE Clean Energy,25.0,25.0,1.0,<1.5h,2021.0,LIB,CS,True,"rte_gt_1,pv_same_plant,dc_coupled",0.9280100855522927,-0.004017288886702368,4850.76,0.8084600000000001,-0.01606915554680947,0.19153999999999993,False,C
49,57447,78,2019-01,2025-06,LOW_ETA_AND_LOW_UTI,11268.096486994495,78,2618.133146288087,Laurel Mountain Hybrid,WV,PJM,AES Distributed Energy,16.0,16.0,1.0,<1.5h,2011.0,LIB,CS,False,,0.8052400248690246,0.21454220509895694,10103.234375,1.6838723958333333,1.340888781868481,0.0,False,A
50,64528,55,2021-06,2025-12,THERMAL_AUX,5718.713737715974,55,2552.9133855450455,Gambit Energy Storage - Angleton Storage,TX,ERCO,Gambit Energy Storage LLC,100.0,200.0,2.0,1.5-2.5h,2021.0,LIB,CS,False,,0.7848989352622862,0.3452737193314352,962.635,0.16043916666666666,0.3452737193314352,0.8395608333333333,False,A
