plant_id,plant_name,state,hybrid_reasons
141,Agua Fria,AZ,"rte_gt_1,pv_same_plant"
260,Dynegy Moss Landing Power Plant Hybrid,CA,rte_gt_1
645,Big Bend,FL,pv_same_plant
1016,Butler-Warner Generation Plant,NC,pv_same_plant
2830,Walter C Beckjord,OH,rte_gt_1
6304,Kotzebue Hybrid,AK,"colocated_firming,pv_same_plant"
6377,Ocracoke Hybrid,NC,rte_gt_1
10444,"Lockhart Solar PV, LLC",CA,pv_same_plant
50064,University of California Santa Cruz,CA,"colocated_firming,pv_same_plant"
54296,Biola University Hybrid,CA,rte_gt_1
56981,Pyron Wind Farm LLC Hybrid,TX,rte_gt_1
57082,Kaheawa Wind Power II LLC,HI,colocated_firming
57242,Mililani South Solar Farm,HI,"rte_gt_1,pv_same_plant"
57325,FPL Energy Illinois Wind LLC Hybrid,IL,rte_gt_1
57560,Chino Valley Solar,AZ,pv_same_plant
57561,Cotton Center Solar Hybrid,AZ,pv_same_plant
57562,Paloma Solar Hybrid,AZ,pv_same_plant
57563,Hyder Solar Hybrid,AZ,pv_same_plant
57693,DOE Golden NWTC Research Side Hybrid,CO,pv_same_plant
57997,Foothills Solar Plant Hybrid,AZ,pv_same_plant
58236,Marshalltown Generating Station,IA,"colocated_firming,pv_same_plant"
58256,Los Alamos PV Site,NM,pv_same_plant
58383,Hyder II Hybrid,AZ,pv_same_plant
58405,ESS Battery Microgrid,AK,colocated_firming
58462,McCoy Solar Energy Project Hybrid,CA,pv_same_plant
58537,OCI Alamo Solar I Hybrid,TX,"rte_gt_1,pv_same_plant"
58585,Sierra Nevada Brewing Co Hybrid,CA,pv_same_plant
58625,Santa Rita Jail Hybrid,CA,pv_same_plant
58639,KRS I Anahola Solar Hybrid,HI,"colocated_firming,pv_same_plant"
58640,KRS II Koloa Solar,HI,pv_same_plant
58899,Prosperity Energy Storage Facility Hybri,NM,pv_same_plant
59020,Gila Bend Hybrid,AZ,pv_same_plant
59150,RE Mustang LLC,CA,pv_same_plant
59296,Northwest Ohio Wind,OH,"colocated_firming,pv_same_plant,dc_tight"
59444,Desert Star Hybrid,AZ,pv_same_plant
59871,Desert Quartzite,CA,pv_same_plant
59939,RE Tranquillity,CA,"pv_same_plant,dc_coupled"
59957,Grand Ridge Battery Projects,IL,"rte_gt_1,dc_coupled"
59966,Camp Lejeune Solar and Energy Storage,NC,pv_same_plant
59993,Babcock Solar Energy Center Hybrid,FL,"rte_gt_1,colocated_firming,pv_same_plant"
60014,Manatee Solar Energy Center,FL,pv_same_plant
60061,Citrus Solar Energy Center Hybrid,FL,"rte_gt_1,colocated_firming,pv_same_plant,dc_tight"
60092,"Blythe Solar II, LLC",CA,pv_same_plant
60093,"Blythe Solar 110, LLC",CA,pv_same_plant
60094,"Blythe Solar III, LLC Hybrid",CA,pv_same_plant
60095,"Blythe Solar IV, LLC",CA,pv_same_plant
60123,Castle Gap Solar Hybrid,TX,pv_same_plant
60231,Genentech-Oceanside Hybrid,CA,pv_same_plant
60233,RE Garland,CA,"pv_same_plant,dc_coupled"
60299,HMV Minster Energy Storage System,OH,rte_gt_1
60316,Scott Solar Farm,VA,pv_same_plant
60390,Beech Ridge Energy Storage,WV,dc_coupled
60441,Salem Smart Power Center,OR,"colocated_firming,dc_coupled"
60467,Red Rock,AZ,pv_same_plant
