site,owner_entity,utility,state,mwdc,median_pi_12mo,latest_pi
"Dissigno Healdsburg FPV, LLC",Palmetto Power Management LLC,Palmetto Power Management LLC,CA,4.4,4.072,3.06
Mtn. Solar 4 (CSG),Standard Solar,Standard Solar,CO,2.0,3.879,5.826
"Clendenin A Community Solar, LLC CSG","Clendenin A Community Solar, LLC","Clendenin A Community Solar, LLC",IL,2.9,3.394,3.394
Kilroy Solar,Nautilus Solar Solutions,Nautilus Solar Solutions,CA,1.3,3.228,3.344
"Santee Solar Partners, LLC","REA Investments, LLC","REA Investments, LLC",MN,3.7,2.87,1.942
Samson Solar Energy,Invenergy,Invenergy,TX,335.0,2.851,2.851
Union Vale,"Altus Power America Management, LLC","Altus Power America Management, LLC",NY,2.6,2.839,1.685
Wabasha Solar,Wabasha Solar LLC,Wabasha Solar LLC,MN,1.4,2.763,1.527
IMPA Tell City Solar Park,Indiana Municipal Power Agency,Indiana Municipal Power Agency,IN,1.3,2.688,1.752
Samson Solar Energy III LLC,Invenergy,Invenergy,TX,335.0,2.647,2.647
Popple Creek (Clark 1),Greenbacker Renewables,Greenbacker Renewables,WI,2.46,2.545,1.918
Copper Mountain Solar 2,RWE Renewables,RWE Renewables,NV,187.6,2.158,2.008
Univ of California San Diego Solar,University of California San Diego,University of California San Diego,CA,1.2,2.081,1.711
Nutmeg Solar,Nutmeg Solar LLC,Nutmeg Solar LLC,CT,21.6,2.056,3.089
Pearl City Peninsula Solar Park,"Altus Power America Management, LLC","Altus Power America Management, LLC",HI,1.2,2.033,0.74
TES Rowtier,SkyHigh 2 Solar,SkyHigh 2 Solar,MA,4.1,1.996,1.528
Airport Road Solar (CSG),NJR Clean Energy Ventures Corporation,NJR Clean Energy Ventures Corporation,NY,3.6,1.994,1.589
GSPP Boxborough Littleton (MA),"GSPP Boxborough Littleton, LLC","GSPP Boxborough Littleton, LLC",MA,5.0,1.97,2.839
Hickory Grove #1,"Altus Power America Management, LLC","Altus Power America Management, LLC",NY,2.7,1.922,0.612
Winona Solar,Winona Solar I LLC,Winona Solar I LLC,MN,1.4,1.882,1.213
City of Rio Rancho WWTP,Exus New Mexico,Exus New Mexico,NM,1.3,1.88,11.875
"Perkins Road Belfast Solar, LLC","REA Investments, LLC","REA Investments, LLC",ME,7.0,1.864,2.151
SulusSolar35,"Adapture Renewables, Inc.","Adapture Renewables, Inc.",OR,3.5,1.862,2.155
"North Nobleboro Road, LLC","REA Investments, LLC","REA Investments, LLC",ME,3.3,1.842,2.388
Water Street Solar,AES Clean Energy,AES Clean Energy,ME,6.2,1.836,1.926
Drift Creek Solar,"Drift Creek Solar, LLC","Drift Creek Solar, LLC",OR,2.8,1.814,2.086
"Market Street Gardiner Solar, LLC","REA Investments, LLC","REA Investments, LLC",ME,4.9,1.806,3.035
"Ashby Solar, LLC CSG","Ashby Solar, LLC","Ashby Solar, LLC",MA,2.3,1.798,2.545
CTGB Osborn,TotalEnergies,TotalEnergies,CT,2.3,1.796,2.885
XPF Solar Field,United Therapeutics Corporation,United Therapeutics Corporation,NC,3.9,1.781,1.174
"El Dorado Solar, LLC",Greenbacker Renewables,Greenbacker Renewables,CA,1.9,1.764,1.874
Plainfield Pike,Captona Plainfield Pike Johnston LLC,Captona Plainfield Pike Johnston LLC,RI,2.7,1.73,4.206
Theodore Drive Community Solar,"Theodore Drive Solar, LLC","Theodore Drive Solar, LLC",MA,2.0,1.727,2.198
ENGIE 2020 ProjectCo-WI1 LLC,ENGIE,ENGIE,WI,1.2,1.727,1.727
"Westminster Renewables, LLC CSG","Westminster Renewables, LLC","Westminster Renewables, LLC",MA,2.1,1.718,3.314
"RJC CSG, LLC",Madison Energy Holdings LLC,Madison Energy Holdings LLC,MN,1.5,1.705,2.116
Lake Waconia IV Community Solar Garden,Lake Waconia Solar IV LLC,Lake Waconia Solar IV LLC,MN,1.4,1.692,0.559
"Nutting Ridge Solar, LLC","REA Investments, LLC","REA Investments, LLC",ME,6.2,1.683,2.289
Linden Hawk Rise Solar CSG,Navisun LLC,Navisun LLC,NJ,4.5,1.676,2.492
Lake Waconia Community Solar Garden,Lake Waconia Solar LLC,Lake Waconia Solar LLC,MN,1.4,1.669,0.524
"Hadley 2 Solar, LLC CSG","Hadley 2 Solar, LLC","Hadley 2 Solar, LLC",MA,2.4,1.666,1.666
Spanish Fork Community Solar,Utah Municipal Power Agency,Utah Municipal Power Agency,UT,4.7,1.658,3.631
"Day Hill Solar, LLC",Greenbacker Renewables,Greenbacker Renewables,OR,3.1,1.648,2.28
OER Monarch CSG,Standard Solar,Standard Solar,MD,2.8,1.64,2.963
W. Orange Rd Solar LLC,AES Clean Energy,AES Clean Energy,MA,6.5,1.617,2.312
456 Lower,"Altus Power America Management, LLC","Altus Power America Management, LLC",NY,1.7,1.606,0.604
East Brookfield Main Street Solar LLC CS,AES Clean Energy,AES Clean Energy,MA,1.4,1.601,2.834
Ghent (NY),"Altus Power America Management, LLC","Altus Power America Management, LLC",NY,4.3,1.598,0.527
Wilbur Woods Solar LLC,AES Clean Energy,AES Clean Energy,MA,7.2,1.583,2.05
154 D Fisher,Greenbacker Renewables,Greenbacker Renewables,MA,1.3,1.58,3.414
West Street Solar 1 LLC,AES Clean Energy,AES Clean Energy,MA,7.3,1.569,3.015
Gold Meadow Farms,Captona Lippitt Ave Cranston LLC,Captona Lippitt Ave Cranston LLC,RI,21.3,1.557,3.912
Sealed Air Madera Solar Project,Sealed Air Corporation,Sealed Air Corporation,CA,3.5,1.55,1.756
Harris (NY),Bullrock-NxtGenREA,Bullrock-NxtGenREA,NY,2.6,1.543,1.378
"Route 3 China Solar, LLC","REA Investments, LLC","REA Investments, LLC",ME,6.7,1.504,2.056
Kilvert,Captona Kilvert Street Warwick LLC,Captona Kilvert Street Warwick LLC,RI,6.3,1.496,2.801
Old Court Rd Solar,"Old Court Rd Solar, LLC","Old Court Rd Solar, LLC",MD,2.6,1.494,2.405
CP Middletown Solar I LLC,Green Street Power Partners,Green Street Power Partners,CT,1.3,1.485,2.586
McIntosh Solar,Southern Power,Southern Power,GA,12.0,1.483,2.79
CP Middletown Solar II LLC,Green Street Power Partners,Green Street Power Partners,CT,1.3,1.467,2.512
115 G Fisher,Greenbacker Renewables,Greenbacker Renewables,MA,1.3,1.467,3.315
Townline Community Solar,AES Clean Energy,AES Clean Energy,NY,6.4,1.461,1.461
A Street 1,Captona A Street 1 Johnston LLC,Captona A Street 1 Johnston LLC,RI,1.6,1.453,2.388
A Street 2,Captona A Street 2 Johnston LLC,Captona A Street 2 Johnston LLC,RI,2.2,1.453,2.746
Lane Ave Solar LLC,AES Clean Energy,AES Clean Energy,MA,2.0,1.445,1.824
Saratoga Solar LLC,Green Street Power Partners,Green Street Power Partners,NY,6.3,1.435,1.223
Steel Solar LLC,"Steel Solar, LLC","Steel Solar, LLC",UT,84.0,1.431,0.825
Deer Creek 2,Greenbacker Renewables,Greenbacker Renewables,CA,1.6,1.428,1.608
"233 Randolph 74 Solar I, LLC","233 Randolph 74 Solar I, LLC","233 Randolph 74 Solar I, LLC",NC,2.6,1.425,3.4
"Monson Solar, LLC","Monson Solar, LLC","Monson Solar, LLC",MA,2.6,1.425,1.416
Steel Sun,CleanCapital Holdings,CleanCapital Holdings,NY,2.8,1.409,0.837
Dairy Farm,Greenbacker Renewables,Greenbacker Renewables,ME,5.5,1.407,1.384
Bethlehem - West,Madison Energy Investments LLC,Madison Energy Investments LLC,NY,1.2,1.402,0.412
SV CSG AFTON I,"SV CSG Afton I, LLC","SV CSG Afton I, LLC",MN,1.26,1.402,1.285
"GD Hopkinton Main I, LLC","GD Hopkinton Main I, LLC","GD Hopkinton Main I, LLC",RI,12.4,1.399,2.395
Hall Property,Standard Solar,Standard Solar,MD,3.0,1.398,2.615
"DePue Holdings, LLC","DePue Holdings, LLC","DePue Holdings, LLC",IL,26.3,1.392,1.392
USS Kass Solar LLC,Standard Solar,Standard Solar,MN,1.4,1.391,1.474
Pine Hill,"Onsite Partners, LLC","Onsite Partners, LLC",RI,6.7,1.386,2.621
Farmington Solar,"Farmington Solar, LLC","Farmington Solar, LLC",ME,81.0,1.385,0.249
Amaterasu LLC,AES Clean Energy,AES Clean Energy,MA,6.7,1.379,1.519
Spruce - WCMD - Rubble I,MN8 Energy,MN8 Energy,MD,2.5,1.362,2.245
"GD Glocester White Oak I, LLC","GD Glocester White Oak I, LLC","GD Glocester White Oak I, LLC",RI,2.2,1.361,2.173
Chanel Piscataway Rooftop,Powerflex,Powerflex,NJ,1.8,1.353,0.925
