owner_entity,mwdc,coi_3yr_usd,n_sites
Duke Energy,4982.58,33095768.0,107
Southern Power,3694.4,16305496.0,47
8minute Solar Energy,2349.3,10115940.0,11
Dominion Renewable Energy,2268.1,16362817.0,41
Cypress Creek Renewables,2136.5,11595290.0,194
MN8 Energy,2092.92,15838776.0,170
WEC Energy Group,1984.9,7066673.0,33
Intersect Power,1921.6,6498247.0,5
Tampa Electric,1812.98,8997965.0,33
Onward Energy,1750.0,12811626.0,33
Arevon,1724.4,8789193.0,41
Dominion Energy,1603.2,20527344.0,22
Acciona Energy,1306.3,759025.0,4
Strata Clean Energy,1116.4,3664781.0,159
"Leeward Asset Management, LLC",1060.01,1345385.0,6
Hecate Energy,1037.5,9402958.0,5
Terra-Gen,997.0,3031346.0,10
Geronimo Energy,904.45,1283078.0,45
"Cubico USA, LLC",839.89,6818173.0,7
Avangrid Renewables,808.52,695487.0,5
SB Energy,789.5,3571504.0,2
Swift Current Energy,788.2,5374629.0,1
Repsol Renewables,756.28,989087.0,3
Origis Energy,754.8,672329.0,5
"Altus Power America Management, LLC",710.5,4916708.0,175
Union Electric Co - (MO),674.5600000000001,853618.0,6
Recurrent Energy,656.7,4330126.0,8
"Waco Solar, LLC",544.54,1320186.0,1
"Washington County Solar, LLC",515.25,982180.0,2
Nautilus Solar Solutions,497.8,3360715.0,127
Doral Renewables,482.0,194582.0,1
Riverstart Solar Park LLC,440.0,0.0,2
"Crane Solar Project, LLC",425.2,489567.0,2
Wisconsin Public Service Corp,421.2,7188767.0,4
Greasewood II LLC,398.0,172148.0,1
"Solar Star California XIX, LLC",397.9,61163.0,1
NJR Clean Energy Ventures Corporation,380.0,934597.0,54
Desert Quartzite LLC,374.9,0.0,1
Atrisco Solar LLC,364.0,530560.0,1
Vistra Energy,361.3,497060.0,4
"BT Noble Solar, LLC",353.5,1031406.0,1
Yellowbud Solar LLC,352.9,152271.0,1
"AP Solar 2, LLC",350.0,4822923.0,1
Westlands Solar Blue,350.0,237279.0,1
"Arica Solar, LLC",350.0,1100245.0,1
"Solar Star California XX, LLC",349.5,63874.0,1
Concho Bluff LLC,348.0,15916557.0,1
Sun Valley Solar LLC,347.8,389363.0,1
"Adapture Renewables, Inc.",345.3,1188123.0,35
"SR Toombs I, LLC",345.2,684454.0,1
Taygete Energy Project LLC,344.1,4155776.0,1
"Silver State Solar Power South, LLC",338.6,1961327.0,1
John Laing US Solar Corp.,334.3,1073262.0,5
Hopkins Energy LLC,331.22,30041.0,1
"Sparta Solar, LLC",330.0,1440275.0,1
APS,329.3,3029143.0,7
"Imperial Valley Solar 3, LLC",328.1,3153208.0,1
Misae Lessee LLC,326.8,6418016.0,1
Madison Energy Investments LLC,326.2,3843876.0,71
Aqua,325.0,3448797.0,1
Ben Milam Solar 3 LLC,325.0,33916.0,1
Generate Capital,318.83,1460628.0,73
Arlington Energy Center II,318.7,0.0,1
Ben Milam Solar 2 LLC,317.88,0.0,1
"Phoebe Energy Project, LLC",317.0,2385416.0,1
"Paris Farm Solar, LLC",314.0,0.0,1
"Bernard Creek Solar, LLC",313.5,407151.0,1
"Blythe Mesa Solar II, LLC",310.9,1174211.0,1
Sol Systems,305.5,1943187.0,26
"Porter Solar, LLC",305.0,269583.0,1
"Muscle Shoals Solar, LLC",294.0,329566.0,1
Boralex US Operations LLC,293.8,5255438.0,8
Entergy,286.0,3921538.0,6
"Sun Streams PVS, LLC",285.05,1450593.0,1
"Azure Sky Solar Project, LLC",283.9,492231.0,1
Randolph Solar Park LLC,282.6,324210.0,1
AV Solar Ranch 1 LLC,279.0,947151.0,1
"Headwater Energy, LLC",273.31,2214707.0,27
"Victory Pass I, LLC",272.0,547214.0,1
Cutlass II Solar LLC,271.0,281038.0,1
Xcel Energy,270.9,225428.0,6
Urban Grid Solar,270.2,271958.0,3
AP Sunray LLC,270.0,494887.0,1
Meadow Lake Solar Park,269.9,368803.0,1
"Hillcrest Solar I, LLC",265.0,375080.0,1
Corazon Energy LLC,265.0,4613325.0,1
"Brazoria County Solar Project, LLC",262.5,389556.0,1
"Tres Bahias Solar Power, LLC",260.82,28161.0,1
Indiana Municipal Power Agency,260.47,1730345.0,43
"Dodge Flat Solar, LLC",260.0,0.0,1
"Brazoria West Solar Project, LLC",260.0,193469.0,1
Ben Milam Solar 1 LLC,260.0,0.0,1
West Texas Solar Project II LLC,258.4,695978.0,1
"Pearl River Solar Park, LLC",258.05,349505.0,1
"Imperial Valley Solar, LLC",255.9,4322998.0,1
"SE Aragorn, LLC",255.0,3829639.0,1
Techren Solar II LLC,251.0,1704437.0,1
