account,ultimate_parent,account_owner,category,market,segment,gtm_stage,om_model,relationship,gtm_solar_mw,has_solar_inspections,has_solar_saas,has_rvm,has_performance
TotalEnergies,TotalEnergies,Benjamin Airey,Owner / IPP,EU,Tier 2,Subscription,FSA,Prospect,,False,False,False,True
Brookfield,Brookfield,,Owner / IPP,NAM,Tier 2,Subscription,Self-perform,Customer,12200,True,True,False,False
Enel (Enel Green Power),Enel GreenPower,Brian Steffes,Owner / IPP,NAM,Tier 1,Inspection Only,Self-perform,Prospect,,False,False,False,False
Engie,Engie EU,,Owner / IPP,EU,Tier 1,Subscription,Self-perform,Customer,7900,True,True,False,False
NextEra,NextEra,Dan Partin,Owner / IPP,NAM,Tier 1,Subscription,Self-perform,Customer,7600,True,True,False,False
Axpo,,,,,,,,,,False,False,False,False
AES (AES Clean Energy),AES,Dan Pasick,Owner / IPP,NAM,Tier 1,Subscription,Self-perform,Customer,5800,True,True,False,False
RWE,RWE Europe and Offshore,Nagore Guarretxena,Owner / IPP,EU,Tier 1,Inspection Only,Self-perform,Customer,,False,False,False,False
Exus Group,Exus Management Partners,Carter Beil,Owner / IPP,NAM,Tier 3,Subscription,Self-perform,Customer,6791,True,True,True,False
Statkraft,Statkraft,Patrick Strom,Owner / IPP,EU,Tier 2,Go Get,Unknown,Prospect,307,True,False,False,False
Eolus,Eolus Vind AB,Patrick Strom,Owner / IPP,EU,Tier 3,Subscription,Self-perform,Prospect,6200,False,True,False,True
EDPR,EDPR,Dan Pasick,Owner / IPP,NAM,,,Self-perform,Prospect,5907,True,True,False,False
EDF,EDF renewables NAM,Brian Steffes,Owner / IPP,NAM,Tier 1,Subscription,Self-perform,Customer,4100,True,True,False,False
BP (Lightsource bp),BP,Dan Pasick,Owner / IPP,NAM,,,Self-perform,Prospect,3000,True,True,False,False
Encavis,Encavis,,Owner / IPP,EU,Tier 2,Subscription,Self-perform,Prospect,2200,False,True,False,True
Greenbacker,Greenbacker,Brian Steffes,Owner / IPP,NAM,Tier 3,Subscription,Unknown,Prospect,1400,True,True,False,True
