owner,customer,ssi,method
Georgia Power Co,Southern Company Group,False,rule
Florida Power & Light Co,NextEra Energy Resources,True,rule
Arizona Public Service Co,Pinnacle West / APS,False,rule
Tennessee Valley Authority,Tennessee Valley Authority,False,rule
"Dominion Energy South Carolina, Inc",Dominion Energy Group,False,rule
Constellation Nuclear,Constellation Energy Corp.,True,rule
Southern Power Co,Southern Power,True,rule
"Duke Energy Carolinas, LLC",Duke Energy Group,False,rule
TalenEnergy Susquehanna LLC,Talen Energy Group,False,rule
"Comanche Peak Power Co, LLC",Vistra Group,False,rule
"Entergy New Orleans, LLC",Entergy Group,False,rule
North Carolina Mun Power Agny #1,NC Municipal Power Agency,False,rule
PSEG Nuclear LLC,PSEG Group,False,rule
Pacific Gas & Electric Co.,PG&E Group,False,rule
NRG Texas Power LLC,NRG Energy Group,False,rule
Indiana Michigan Power Co,"American Electric Power Company, Inc.",True,rule
"Duke Energy Florida, LLC",Duke Energy Group,False,rule
Dominion Energy Nuclear Conn Inc,Dominion Energy Group,False,rule
Entergy Louisiana LLC,Entergy Group,False,rule
Guernsey Power Station LLC,ArcLight Capital Partners,False,rule
Tampa Electric Co,Emera Group (TECO),False,rule
Entergy Texas Inc.,Entergy Group,False,rule
Duke Energy Progress - (NC),Duke Energy Group,False,rule
Virginia Electric & Power Co,Dominion Energy Group,False,rule
AES Alamitos LLC,AES Wind Generation,True,rule
LaFrontera Holdings LLC,NRG Energy Group,False,rule
Salt River Project,Salt River Project,False,rule
Midland Cogeneration Venture,Midland Cogeneration Venture,False,rule
Energy Harbor Nuclear Generation LLC,Constellation Energy Corp.,True,rule
Entergy Arkansas LLC,Entergy Group,False,rule
Alabama Power Co,Southern Company Group,False,rule
Ravenswood Operations LLC,LS Power Group,False,rule
TalenEnergy Montour LLC,Talen Energy Group,False,rule
Constellation Mystic Power LLC,Constellation Energy Corp.,True,rule
Midlothian Energy LLC,Vistra Group,False,rule
Oklahoma Gas & Electric Co,Oklahoma Gas and Electric,True,rule
MC Project Company LLC,ArcLight Capital Partners,False,rule
Brunner Island LLC,Talen Energy Group,False,rule
"Ormond Beach Power, LLC",GenOn Holdings,False,rule
"Temple Generation I, LLC",Vistra Group,False,rule
Los Angeles Department of Water & Power,LADWP,False,rule
Calpine Mid-Merit LLC,Calpine Group,False,rule
National Grid Generation LLC,National Grid Group,False,rule
"Hoosier Energy R E C, Inc",Hoosier Energy,False,rule
Invenergy Services LLC,Invenergy North America,True,rule
Nevada Power Co,NV Energy (BHE),False,rule
"System Energy Resources, Inc",Entergy Group,False,rule
Cottonwood Energy Company LP,NRG Energy Group,False,rule
"Constellation Power, Inc",Constellation Energy Corp.,True,rule
Dynegy Hanging Rock Energy Facility,Vistra Group,False,rule
