plant_id,sheet,customer,owner,ssi,tech_detail
57871,Solar,Dependable Highway Express Inc,Dependable Highway Express Inc,False,Solar Photovoltaic
61491,Solar,First Citizens Bank,First Citizens Bank,False,
59393,Solar,"Emcore Solar New Mexico, LLC","Emcore Solar New Mexico, LLC",False,Solar Photovoltaic
62965,Solar,Pinnacle West / APS,Arizona Public Service Co,False,
57694,Solar,DOE National Renewable Energy Laboratory,DOE National Renewable Energy Laboratory,False,
57692,Solar,DOE National Renewable Energy Laboratory,DOE National Renewable Energy Laboratory,False,
57693,Solar,DOE National Renewable Energy Laboratory,DOE National Renewable Energy Laboratory,False,
57540,Solar,Edison International Group,Southern California Edison Co,False,Solar Photovoltaic
63435,Solar,AES Wind Generation,AES Distributed Energy,True,
62361,Solar,Standard Solar,Standard Solar,False,
62362,Solar,Standard Solar,Standard Solar,False,
62334,Solar,Standard Solar,Standard Solar,False,
62338,Solar,Standard Solar,Standard Solar,False,
59369,Solar,Altus Power,"Altus Power America Management, LLC",False,
62114,Solar,Greenskies,Greenskies,False,
6125,Solar,Municipal / Public Utility (various),Town of Shrewsbury - (MA),False,
64368,Solar,"Forefront Power, LLC","Forefront Power, LLC",False,
56875,Solar,EDF Power Solutions North America,"EDF Renewable Asset Holdings, Inc.",True,Solar Photovoltaic
65404,Solar,Institutional Self-Generation (various),Antioch Medical Center (site#6) Solar LLC,False,
58010,Solar,Bostonia WSMR SPV LLC,Bostonia WSMR SPV LLC,False,Solar Photovoltaic
57685,Solar,Humphrey Realty,Humphrey Realty,False,
61993,Solar,"SolarStorage Fund C, LLC","SolarStorage Fund C, LLC",False,Solar Photovoltaic
63288,Solar,Brookfield Renewable,Brookfield (GGP),True,Solar Photovoltaic
57372,Solar,enXco Development Corporation,enXco Development Corporation,False,Solar Photovoltaic
57363,Solar,510 REPP One LLC,510 REPP One LLC,False,Solar Photovoltaic
60018,Solar,DTE Energy,DTE Electric Company,True,
65089,Solar,Ameresco San Joaquin Solar LLC,Ameresco San Joaquin Solar LLC,False,Solar Photovoltaic
59866,Solar,Palmer Solar LLC,Palmer Solar LLC,False,Solar Photovoltaic
63630,Solar,Westbound Solar LLC,Westbound Solar LLC,False,
59550,Solar,Putah Creek Solar Farm LLC,Putah Creek Solar Farm LLC,False,Solar Photovoltaic
66088,Solar,Putah Creek Solar Farms LLC,Putah Creek Solar Farms LLC,False,Solar Photovoltaic
61248,Solar,Glopak Corporation,Glopak Corporation,False,Solar Photovoltaic
60803,Solar,Deutsche Bank,Deutsche Bank,False,
61563,Solar,Denver Metro Solar LLC,Denver Metro Solar LLC,False,Solar Photovoltaic
62636,Solar,NVSS-II,NVSS-II,False,
65940,Solar,TotalEnergies,"TotalEnergies Distributed Generation, LLC",True,
64605,Solar,Nautilus Solar Solutions,Nautilus Solar Solutions,False,
63091,Solar,"Forefront Power, LLC","Forefront Power, LLC",False,
57254,Solar,Institutional Self-Generation (various),Victor Valley Community College District,False,Solar Photovoltaic
60499,Solar,"Hartz Solar, LLC","Hartz Solar, LLC",False,Solar Photovoltaic
59060,Solar,Municipal / Public Utility (various),City of Pittsfield - (MA),False,Solar Photovoltaic
61718,Solar,"PCS Energy, LLC","PCS Energy, LLC         ",False,Solar Photovoltaic
65406,Solar,PPL Group,Kentucky Utilities Co,False,Solar Photovoltaic
57310,Solar,Konoike Pacific,Konoike Pacific,False,
61496,Solar,"GCL New Energy, Inc.","GCL New Energy, Inc.",False,Solar Photovoltaic
57939,Solar,National Bank of Arizona,National Bank of Arizona,False,Solar Photovoltaic
58801,Solar,"Leyline Renewable Energy, LLC","Leyline Renewable Energy, LLC",False,Solar Photovoltaic
60341,Solar,CleanCapital Holdings,CleanCapital Holdings,False,Solar Photovoltaic
60515,Solar,Terraform Power,Terraform Arcadia,True,
66532,Solar,Bright Canyon Energy,Bright Canyon Energy,False,Solar Photovoltaic
61281,Solar,"GCL New Energy, Inc.","GCL New Energy, Inc.",False,Solar Photovoltaic
63200,Solar,"Bergenmand Solar Partners, LLC","Bergenmand Solar Partners, LLC",False,Solar Photovoltaic
62880,Solar,Westbound Solar LLC,Westbound Solar LLC,False,
61160,Solar,Mill Solar 1 LLC,Mill Solar 1 LLC,False,
57519,Solar,Trexlertown Solar Array North and South,Trexlertown Solar Array North and South,False,
58483,Solar,Tinton Falls Solar,Tinton Falls Solar,False,Solar Photovoltaic
