site,lat,lon
1001 Ebenezer Church Solar,36.283819,-80.843419
1008 Matthews Solar,36.21669,-80.552473
1009 Yadkin Solar,36.14749,-80.656114
"1025 Traveller Solar, LLC",35.427308,-79.126319
"1034 Catherine Lake Solar, LLC",34.78471,-77.498759
1045 Tomlin Mill Solar,35.916178,-80.835488
"1047 Little Mountain Solar, LLC",36.197067,-80.806725
"1051 Lucky Solar, LLC",36.148986,-80.819654
1073 Onslow Solar,34.773578,-77.185771
1634 Solar,34.3368,-80.081493
"20333 Normandie PV, LLC",33.84614,-118.30019
"20701 Plummer PV, LLC",34.243444,-118.58517
2081 Terzian Solar Project,36.67,-119.415833
2097 Helton Solar Project,37.352222,-120.506944
2127 Harris Solar Project,39.291667,-121.669722
"231 Dixon 74 Solar I, LLC",35.244125,-81.430385
"232 Long Branch 29 Solar I, LLC",35.23222,-81.559722
"233 Randolph 74 Solar I, LLC",35.311944,-81.590555
2555 E Olympic Bl,34.026944,-118.224167
315 Vinson Road,35.629398,-78.385888
4Oaks,35.4325,-78.411667
510 REPP One,36.4972,-77.6058
"8500 Balboa PV, LLC",34.22379,-118.49974
9150 Hermosa Solar GM,34.0878,-117.5872
Abbot Solar,33.678358,-80.240292
ABD Farms,35.728738,-79.748273
Ace Solar,34.722882,-82.525795
Achilles Solar,35.359674,-79.911423
"Acme Solar, LLC",34.324366,-78.996148
Adams,34.695185,-82.528284
"Adapture CA2, LLC",39.69898,-122.175583
"Adelanto Solar II, LLC",34.557222,-117.3775
"Adelanto Solar, LLC",34.557222,-117.3775
Adera Solar,37.120586,-120.32488
Adobe Solar,35.102778,-118.954444
Aerojet I,38.613508,-121.162879
Aerojet II,38.6086,-121.1703
Aerolease,34.189857,-118.451355
AGA TAG Solar III LLC,34.99647,-82.0421
AGA TAG Solar IV LLC,34.27355,-78.06444
Agriculture Capital - Legacy Packing,36.49466,-119.46698
Ahoskie,36.306369,-76.993138
Ajax Solar,34.83091,-79.1194
Alamo Solar,34.682222,-117.3475
Albemarle Beach Solar,35.928188,-76.620452
Albemarle Solar Center LLC,35.293056,-77.556944
Albertson Solar LLC,35.093021,-77.812667
"Algonquin SKIC 10 Solar, LLC",35.126111,-119.243361
Algonquin SKIC20 Solar LLC,35.126111,-119.243333
"Allora Solar, LLC",33.899338,-81.400467
Almond,36.21222,-119.91
Alpaugh 50,35.898333,-119.435278
Alpaugh North,35.9025,-119.442778
Alpha Value Solar,36.157401,-76.489563
Alpine Solar,34.7892,-118.5047
Alta Sea,33.719111,-118.272621
Alticor Inc - Solar Project,33.878585,-117.99608
AM Best Farm,35.418889,-77.985556
Amazon - Patterson PV,37.468888,-121.166326
Amazon - Stockton - Roof (SCK1) - (CA),37.911715,-121.19865
Amazon Bakersfield 1 Solar Project,35.446616,-119.05089
Amazon PSP1,33.92624,-116.99442
Amazon SAN3 Solar Project,32.566208,-116.933468
American Canyon Solar,38.160858,-122.214014
"American Kings Solar, LLC",36.24,-119.898
American Legion PV 1,36.418333,-77.655833
Amethyst Solar,35.316944,-81.926389
Anaheim Solar Energy Plant,33.8025,-117.919722
Anderson (SC),34.493707,-82.676137
Anderson Farm LLC,34.975556,-78.516667
Andrew Solar,35.1608,-77.1099
Angel Solar,35.651111,-81.208611
Angier Farm,35.516389,-78.75
Antelope Big Sky Ranch,34.694839,-118.28769
Antelope DSR 1,34.655556,-118.280722
Antelope DSR 2,34.686944,-118.311722
Antelope DSR 3,34.736859,-118.304071
Antelope Expansion 1B,34.71611,-118.259161
Antelope Expansion 2,34.744977,-118.309153
Antelope Expansion 3A,34.728902,-118.322051
Antelope Expansion 3B,34.720162,-118.322532
"AP North Lake I, LP",33.74,-117.010556
Apple Campus 2 PV,37.33,-122.01
Apple Data Center - PV2,35.738889,-81.207778
Apple Data Center PV,35.588135,-81.25198
Apple Data Center PV3,35.715,-81.15
Apple One,35.629444,-81.156944
Aquamarine,36.189722,-119.904166
"Ararat Rock Solar, LLC",36.461111,-80.600556
Arba Solar Energy Storage,35.419641,-77.729089
"Arba Solar, LLC",35.396389,-77.703611
Arborgate Solar,35.717391,-79.11946
Arica Solar,33.701001,-115.316292
Arlington Energy Center II,33.69088,-114.774944
Arlington Energy Center III,33.69088,-114.774944
Arndt Farm,35.779167,-81.175556
Arrache 4006,34.655,-118.051111
Arrache 4013,34.650556,-118.051944
Arrache 8083,34.647778,-118.061111
Arthur 2 Solar,34.172948,-78.835562
"Arthur Solar, LLC",34.16087,-78.84663
Ashley Solar Farm,36.126111,-80.798889
"Aspen Solar, LLC",34.791163,-78.012122
Aspiration G,36.552186,-120.352481
ASTI,38.761389,-122.975278
Atascadero State Hospital,35.463333,-120.634011
Athos Solar Project,33.751283,-115.35499
Atkinson Farm Solar,34.896953,-77.795169
Atkinson Solar II,34.897,-77.792
Atood II,35.030303,-81.808469
ATOOD Solar III LLC,34.99647,-82.0421
"ATOOD Solar IV, LLC",34.27532,-78.061015
Atwell Island,35.895,-119.510833
Atwell Island West Solar,35.815,-119.459722
Audrey Solar,35.328056,-81.621944
Augusta Solar,34.124,-82.13
"Augustus Farm, LLC",35.599685,-77.639109
"Aulander Holloman Solar, LLC",36.29116,-77.066561
"Aulander Hwy 42 Solar, LLC",36.248563,-77.085241
"Auten Road Farm, LLC",35.30498,-81.13735
