site,lat,lon
Edwards Sanborn E2,34.941507,-118.129025
OR - Solops - SPI 18 - Belvedere,45.055682,-122.803442
FRB Solar Farm,32.108147,-110.824662
QVC Inc,35.9222,-77.6731
EMWD - Moreno Valley RWRF,33.868252,-117.214055
Morgan Lancaster 1,34.6608,-118.0836
Starr,35.015398,-78.350802
"North Stonington Solar Center, LLC",41.418331,-71.836729
Desert Green Solar Farm LLC,33.27055,-116.34805
"101 Carnegie Center Solar, LLC",40.32312,-74.64512
Costa View Farms,36.99,-120.308
Moorings Farm 2,35.305747,-77.828889
Sacramento Soleil LLC,38.44979,-121.16469
Pittsfield Solar (N. Main St),44.782085,-69.362419
Blackwater River Solar Energy Center,30.64691,-86.93821
Canopus Community Solar,45.428308,-94.823247
Los Lunas Solar Energy Center,34.833136,-106.772413
"Laurinburg Solar, LLC (Heelstone)",34.707644,-79.29538
Connexus Solar Baldwin 1BDN,45.4173,-93.3885
BEMS West Solar,39.892036,-74.694978
Jericho,42.24172,-77.78193
BRNG Nicolin (CSG),44.620776,-68.509227
Troupsburg,42.0121,-77.3751
Golden Solar,44.43415,-71.97124
Shannon Farm,34.8475,-79.128889
Spruce - WCMD - Rubble II,39.62143,-77.82543
CTGB Osborn,42.032931,-72.499202
"Blue Skies Solar, LLC",34.98809,-118.908812
NY Van Buren II CSG,43.1,-76.294
Bullock Road Solar 1,41.728936,-70.990453
WSMR I,32.395833,-106.47722
Bishop Ranch - BR 1-Y,37.76217,-121.9579
BBARWA,34.267795,-116.815428
Newfield Community Solar LLC,42.39131,-76.564236
SunE Alamosa,37.690304,-105.880501
ADC Varner,34.041298,-91.627949
Clipperton Holdings,34.966944,-78.354444
Augusta,44.36124,-69.79636
Vikings Energy Farm,32.803363,-115.27174
Alafia Solar,27.723197,-82.025608
Santa Fe Solar Power Plant,29.880408,-82.732589
Woodmere Solar Farm,35.323056,-118.821389
Palmetto Plains,33.340179,-80.697336
Bishop Ranch BR 1-X,37.759761,-121.955956
Mauna Loa Macadamia Nut,19.656851,-155.008718
TJA-NY- Dix Solar Farm LLC,42.3085,-76.891
"CBEP Solar 5, LLC",40.340485,-104.881674
Corning Riverview (CSG),43.001066,-78.91407
Corazon Energy LLC,27.634677,-99.258329
Union Springs Solar Center,29.97397,-82.30099
"Panda Solar NC 9, LLC",34.910856,-78.9136
"SCS Penfield One 010750 Penfield, LLC",43.134,-77.38
Antelope Expansion 1B,34.71611,-118.259161
High Point Solar LLC,42.432863,-89.906865
Fort Bend Solar LLC,29.560311,-95.98036
Phantom Solar,31.114983,-97.845111
Griffin Solar,31.474114,-97.141218
MD - EDFR - Phase II - Lewiston,44.074467,-70.137783
Pivot Solar 35,40.32734,-104.751821
Holly Spring Meadows,38.862089,-76.91249
Galloway 2 Solar Farm,31.446237,-99.902973
DRPA Lindenwold Station Solar Project,39.831654,-74.999234
Cornerstone Power Holmdel LLC,40.352222,-74.187778
Woodruff County Solar,35.256256,-91.340186
Fryeburg,44.02099,-70.95782
UMCES Ground Mount,38.583064,-76.13475
Baker City Solar,44.702418,-117.763482
NSF Aurelius Site 3 LLC,42.91942,-76.60775
Westport MA 2 Community Solar,41.621068,-71.056963
Ulster County Solar,41.961896,-73.981234
BEMS West Solar CSG,39.892036,-74.694978
Kearsarge SKSC2 LLC,41.498281,-71.533414
IKEA College Park 411,39.021,-76.926
USS Fruita Solar LLC CSG,39.09194,-108.42313
Runway Solar Farm,33.667675,-78.917988
"Dix Solar, L.L.C",39.977433,-74.621862
Athens Ridge,44.917755,-69.670659
Lakewood Cheddar School,40.0709,-74.1808
Hinsdale Solar PV,42.44,-73.11
Walton 1 Solar Facility,38.85018,-84.592263
Delta's Edge Solar,33.5,-90.1
Fusion Solar Center LLC,41.623889,-72.043056
Kohler Solar,43.747,-87.765727
Oregon University System Rabbit Field,44.573484,-123.31695
Clarendon Solar Farm,43.539722,-72.955833
Princeton Solar Project,40.379736,-74.625694
SF Auto O1,41.207,-112.004
Bethlehem - West,42.539006,-73.824295
Chei Solar,35.8918,-78.1823
Phillips Route 82 Solar LLC,41.65,-73.75
Redman South Community Solar,43.2743,-77.965
CP Middletown Solar II LLC,41.548826,-72.706877
West Tennessee Solar Farm,35.408611,-89.3875
"Geddes 1 Solar, LLC",43.433775,-84.118662
Dickinson Solar (CT),41.7698,-72.0794
CED Peoria Solar,40.57629,-89.703554
POM Plant 2,36.656664,-119.592219
KDC Solar CV Cedar Lane Park LLC,39.314718,-76.978872
Banner Solar Ironwood,33.213142,-111.566901
"IGS CC, LLC",38.936172,-76.968186
"McDonough Solar 1, LLC CSG",40.555424,-90.851133
Antlia Community Solar,43.906524,-96.138235
"Great Valley Solar Portfolio Holdings, L",36.581182,-120.37957
