ordering,segment,rank_in_segment,customer,is_ssi_customer,sites_total,total_gas_mw,sites_confirmed,sites_likely,sites_exposed,mw_at_risk,bpri_weighted,recoverable_usd,worst_site,states,bas,cems_backed_sites,share_at_risk,rank_recoverable,rank_share_at_risk,share_rank_note
by_recoverable_usd,SSI customer (cross-sell),1,"American Electric Power Company, Inc.",True,43,13766.0,2,0,0,1473.0,49.12822071867321,2524255.214199958,Northeastern,"AR, KY, LA, NM, OH, OK, TX, VA, WV","PJM, SWPP",28,0.10700276042423362,1,41.0,
by_recoverable_usd,SSI customer (cross-sell),2,AES Wind Generation,True,7,4947.6,0,1,1,821.4,53.89107991224261,1149470.5873109098,AES Redondo Beach LLC,"CA, IN","CISO, MISO",4,0.1660198884307543,3,31.0,
by_recoverable_usd,SSI customer (cross-sell),3,Invenergy North America,True,6,3987.7000000000003,0,1,0,1498.5,53.56250168291563,1045542.1433447712,Lackawanna Energy Center,"CO, IL, MN, PA, WA","BPAT, MISO, PJM, PSCO",6,0.37578052511472776,4,15.0,
by_recoverable_usd,SSI customer (cross-sell),4,NextEra Energy Resources,True,54,27023.0,0,2,3,2342.8,54.85870880640216,801691.5813294902,Lansing Smith,"CA, FL, MD, MI, NC, NH, NJ, PA, UT, VA","BANC, CISO, DUK, FPL, ISNE, JEA, MISO, PACE, PJM",17,0.0866965177811494,9,43.0,
by_recoverable_usd,SSI customer (cross-sell),5,Capital Power Corporation,True,2,1595.3999999999999,1,0,0,1277.1,64.651686997527,419424.83123712847,Harquahala Generating Project,"AZ, WA","BPAT, SRP",2,0.8004889056036104,18,,fewer than 3 gas sites - excluded from share-at-risk ordering
by_recoverable_usd,SSI customer (cross-sell),6,We Energies,True,15,2803.3,0,2,2,359.8,51.48739823242919,318792.2617860459,Weston,WI,MISO,8,0.12834873185174614,23,37.0,
by_recoverable_usd,SSI customer (cross-sell),7,Southern Power,True,8,8086.9,0,1,0,1995.6999999999998,55.49183563285493,86216.1747715704,E B Harris Electric Generating Plant,"AL, GA, NC","DUK, SOCO",7,0.24678183234614004,44,26.0,
by_recoverable_usd,SSI customer (cross-sell),8,Nordex Acciona North America,True,1,0.0,0,0,0,0.0,50.0,0.0,Nevada Solar One,NV,NEVP,0,,65,,fewer than 3 gas sites - excluded from share-at-risk ordering
by_recoverable_usd,SSI customer (cross-sell),9,Pacificorp,True,8,4951.2,0,0,1,0.0,50.51812774459342,0.0,Jim Bridger,"OR, UT, WA, WY","BPAT, PACE, PACW",8,0.0,65,58.0,
by_recoverable_usd,SSI customer (cross-sell),10,Oklahoma Gas and Electric,True,10,6069.299999999999,0,0,0,0.0,48.49326557818144,0.0,Tinker,OK,SWPP,9,0.0,65,58.0,
