rank,plant_id,cls,flag_months,first_flag,last_flag,hri_own_mean,pri_mean,deficit_pct_mean,excess_mmbtu,waste_usd,recoverable_usd,dominant_signature,national_cost_share,plant_cost_share,peer_tier,recoverable_usd_last24m,longest_run,plant_name,state,nerc,ba,operator,nameplate_mw,n_units,unit_size_mw,cod_year,chp_cohort,eoh_since_wash,wash_seen,cum_eoh,duct_burners,wash_status,recoverable_usd_per_yr,conviction_tier
1,55211,CC,47,2019-05,2025-12,0.9273291944489449,0.9215186379409274,7.267080555105502,8839130.296010675,53336310.67042866,11229838.682094062,NONRECOVERABLE,0.0,0.0,2.0,9368794.525276227,7,ANP Bellingham Energy Project,MA,NPCC,ISNE,Bellingham Power Generation LLC,578.0,2.0,289.0,2002.0,False,6606.903114186851,True,81052.72347174163,N,"due (4,000-8,000 EOH)",4684397.262638113,C
2,55690,CC,28,2019-06,2025-12,0.9360408204480296,0.8781483384251747,6.395917955197041,17401964.248606138,56623495.61459406,9996589.743480705,NONRECOVERABLE,1.0,0.0,2.0,7464411.03378092,5,Bethlehem Power Plant,PA,RFC,PJM,Calpine Bethlehem LLC,1153.0,6.0,127.0,2002.6695576756288,False,492.1625845620121,True,96769.46753411391,N,"within interval (<4,000 EOH)",3732205.51689046,C
3,55173,CC,41,2020-07,2025-12,0.8907549181699247,0.8837786300547636,10.924508183007534,22559368.033508185,88867480.22883071,13761719.605997298,NONRECOVERABLE,0.0,1.0,2.0,7247539.398392352,9,Acadia Energy Center,LA,SERC,MISO,Cleco Power LLC,1389.1999999999998,4.0,215.1,2002.0000000000002,False,3919.3089547941267,True,83707.85020155486,Y,"within interval (<4,000 EOH)",3623769.699196176,C
4,55144,CC,34,2019-05,2025-12,0.9267218865662648,0.9352660647386162,7.327811343373531,9902848.854443653,27458650.308152102,13103465.040976986,FOULING,0.0,0.0,2.0,6790008.429858876,9,Hays Energy Project,TX,TRE,ERCO,"Hays Energy, LLC",989.0,4.0,247.25,2002.0,False,7211.772497472194,True,80345.3766430738,N,"due (4,000-8,000 EOH)",3395004.214929438,B
5,1004,CC,51,2019-04,2025-11,0.8862038331609707,0.7308958366155293,11.379616683902924,39127214.49148484,161864477.64157692,18292542.73574043,NONRECOVERABLE,0.0,1.0,2.0,3696912.8197138626,9,Edwardsport,IN,RFC,MISO,"Duke Energy Indiana, LLC",812.7,2.0,240.6,2013.0,False,378.55299864648697,True,51232.43303665329,N,"within interval (<4,000 EOH)",1848456.4098569313,C
6,54,GT,61,2019-07,2025-12,0.8605842299972731,0.8420205965185648,13.941577000272678,7312049.175224568,29522817.98864584,6954801.623420643,NONRECOVERABLE,0.0,0.9836065573770492,1.0,3455315.2730109645,20,J K Smith,KY,SERC,PJM,"East Kentucky Power Coop, Inc",938.4000000000001,9.0,104.26666666666668,2003.1236146632564,False,182.34522378516624,True,10586.693804608025,N,"within interval (<4,000 EOH)",1727657.6365054823,C
7,55293,CC,16,2024-06,2025-12,0.880284183006088,0.9293821828784241,11.971581699391194,4491997.130172751,16215049.749976369,3226533.0481532644,NONRECOVERABLE,0.0,0.0,2.0,3226533.0481532644,6,Morgan Energy Center,AL,SERC,TVA,Morgan Energy Center LLC,900.0,3.0,210.0,2003.2333333333333,True,15131.227777777778,True,86939.1462962963,Y,"OVERDUE (>8,000 EOH)",1613266.5240766322,C
8,7158,GT,22,2019-07,2025-11,0.7140028280898227,0.7264761356833871,28.599717191017724,2656034.0346509437,8458780.937089175,2956170.451630735,UNATTRIBUTED,0.0,1.0,3.0,2956170.451630735,4,Woodsdale,OH,RFC,PJM,Duke Energy Kentucky Inc,571.8,6.0,95.3,1992.1666666666667,False,393.959641483036,True,7707.972181998368,N,"within interval (<4,000 EOH)",1478085.2258153674,C
9,7153,CC,46,2019-01,2025-12,0.919489737142196,0.8668826044892298,8.051026285780395,9340497.5385676,43266763.22745797,10826147.7631716,NONRECOVERABLE,1.0,0.0,3.0,2494321.243208792,14,Hay Road,DE,RFC,PJM,Calpine Mid-Atlantic Generation LLC,1098.2,6.0,116.03333333333332,1996.296849389911,False,718.9366272081588,True,47364.953177682255,N,"within interval (<4,000 EOH)",1247160.621604396,C
10,6071,GT,23,2021-05,2025-10,0.7912688073568227,0.9003994773923752,20.873119264317726,2286089.959019426,14542049.544248829,6265540.079117903,FOULING,0.0,1.0,1.0,2244944.875175365,10,Trimble County,KY,SERC,LGEE,Louisville Gas & Electric Co,1194.0,6.0,199.0,2003.3333333333333,False,639.3886097152429,True,18314.59436069235,N,"within interval (<4,000 EOH)",1122472.4375876824,A
11,8031,CC,46,2020-09,2025-12,0.7753113392209235,0.8948926957460409,22.468866077907652,9314540.95301505,32815059.422821444,9736431.323742298,NONRECOVERABLE,0.0,1.0,2.0,2228125.7653592853,23,Emery Station,IA,MRO,MISO,Interstate Power and Light Co,602.8,2.0,173.4,2004.0000000000005,False,4921.406768414068,True,89828.70825038708,Y,"due (4,000-8,000 EOH)",1114062.8826796426,C
12,634,CC,13,2020-02,2024-12,0.8783605380956252,0.8468812880006388,12.163946190437482,6680808.515118858,33145515.115508113,13788439.394385884,FOULING,0.0,1.0,3.0,2222651.4852763573,3,P L Bartow,FL,SERC,FPC,"Duke Energy Florida, LLC",1254.0,4.0,208.2,2009.0,False,241.29904306220095,True,78873.79370281764,Y,"within interval (<4,000 EOH)",1111325.7426381786,B
13,54817,CC,31,2019-01,2025-12,0.9266276654655251,0.890680379461263,7.337233453447487,3076188.199880791,9777113.016681863,2289341.6699296297,UNATTRIBUTED,0.0,1.0,3.0,1959219.3050894267,8,Johnson County,TX,TRE,ERCO,Johnson County Power LLC,282.6,1.0,178.2,1995.9999999999998,False,14203.851801132341,True,87943.27794291105,Y,"OVERDUE (>8,000 EOH)",979609.6525447133,C
