site,year,month_start,signature_final,confidence,D,score,value_usd,value_usd_quick,rec_pct
"IP Radian, LLC",2026,2026-05-01,OUTAGE_FULL,MEDIUM,0.930610784919886,0.06938921508011398,2323641.994189476,2289980.2241607904,0.9
Greasewood Solar,2024,2024-06-01,OUTAGE_FULL,HIGH,0.8815514041753674,0.11844859582463267,2291244.1253783447,2256232.719549138,0.9
Greasewood Solar,2024,2024-07-01,OUTAGE_FULL,HIGH,0.8913983150145465,0.10860168498545357,2257659.320415386,2223536.4356435644,0.9
Aquamarine,2024,2024-05-01,OUTAGE_FULL,HIGH,0.7627862352283512,0.23721376477164882,2158790.1783685647,2120757.108433735,0.9
Greasewood Solar,2024,2024-08-01,OUTAGE_FULL,HIGH,0.8094796180596623,0.19052038194033774,2157820.3664607857,2121960.824196237,0.9
Aktina Solar,2025,2025-02-01,OUTAGE_FULL,HIGH,0.949895018351441,0.05010498164855907,2107422.399060025,2077503.9180962928,0.9
Noble Solar,2025,2025-09-01,OUTAGE_FULL,HIGH,0.9525375363553794,0.04746246364462058,2021988.3918298325,1993361.300613497,0.9
Rambler,2022,2022-07-01,OUTAGE_FULL,HIGH,0.9343764930721452,0.06562350692785475,1986217.2804660208,1957557.9512195124,0.9
Techren Solar II LLC,2026,2026-03-01,OUTAGE_FULL,MEDIUM,1.0,0.0,1858295.8991866214,1833218.2131193324,0.9
Topaz Solar Farm,2025,2025-03-01,BLOCK_OUTAGE,MEDIUM,0.5115005379147739,0.48849946208522604,1773496.027262698,1727300.9999999995,0.9
Arica Solar,2024,2024-10-01,OUTAGE_FULL,MEDIUM,0.8453713859405276,0.15462861405947234,1717206.250520145,1689861.3202868996,0.9
Topaz Solar Farm,2025,2025-04-01,BLOCK_OUTAGE,MEDIUM,0.4333266489971198,0.5666733510028802,1705793.5768073942,1653591.6923076925,0.9
Greasewood Solar,2023,2023-05-01,OUTAGE_FULL,HIGH,0.7060597749242611,0.2939402250757389,1702691.372873438,1670329.4757334557,0.9
Greasewood Solar,2022,2022-07-01,TRACKER,MEDIUM,0.6564531407954391,0.34354685920456085,1629977.462128191,1596704.3010348077,0.8
Aktina Solar,2021,2021-08-01,UNATTRIBUTED,LOW,0.9942412559236458,0.005758744076354238,1595005.404308739,0.0,0.35
Holstein 1 Solar Farm,2025,2025-08-01,OUTAGE_FULL,HIGH,0.8017105617191295,0.19828943828087056,1594943.6903932716,1568185.718848884,0.9
Aquamarine,2024,2024-04-01,OUTAGE_FULL,HIGH,0.7015959460352461,0.2984040539647539,1592866.311752247,1562402.8502581757,0.9
Aquamarine,2024,2024-03-01,OUTAGE_FULL,HIGH,0.8536664615384615,0.14633353846153846,1585617.0129652184,1560608.9999999995,0.9
Greasewood Solar,2022,2022-06-01,TRACKER,MEDIUM,0.6334507800515199,0.36654921994848005,1569146.6457306365,1535976.6783542037,0.8
Greasewood Solar,2024,2024-09-01,OUTAGE_FULL,HIGH,0.7253106523824249,0.2746893476175752,1568678.6041553454,1539640.4796438254,0.9
Impact Solar 1,2021,2021-09-01,OUTAGE_FULL,MEDIUM,1.0,0.0,1503519.5460816633,1483229.5636363635,0.9
Sun Streams 3,2026,2026-04-01,OUTAGE_FULL,MEDIUM,0.7683978421354984,0.23160215786450158,1473857.8019761785,1448078.0268292686,0.9
Greasewood Solar,2022,2022-05-01,TRACKER,MEDIUM,0.5982299188817772,0.4017700811182228,1464500.8099452322,1431761.0336695178,0.8
Corazon Energy LLC,2024,2024-07-01,OUTAGE_FULL,HIGH,0.9599169118919855,0.04008308810801454,1446291.5222364925,1425970.285714286,0.9
Waco Solar,2026,2026-05-01,BOS_INTERMITTENT,MEDIUM,0.55740173093145,0.44259826906855004,1419296.1943554028,1385298.5852843765,0.7
Topaz Solar Farm,2026,2026-04-01,UNATTRIBUTED,LOW,0.7531116597402648,0.24688834025973513,1391451.769906202,1366628.1962603566,0.35
Greasewood Solar,2024,2024-03-01,OUTAGE_FULL,HIGH,0.7226966161490624,0.27730338385093756,1383488.7646433138,1357787.8142414861,0.9
Athos Solar Project,2024,2024-04-01,BOS_INTERMITTENT,MEDIUM,0.6232436251411544,0.3767563748588456,1381573.4011945287,1351900.488549618,0.7
Greasewood Solar,2022,2022-08-01,TRACKER,MEDIUM,0.6573023381501457,0.34269766184985423,1339043.9455802138,1311744.28166128,0.8
Aktina Solar,2023,2023-06-01,UNATTRIBUTED,LOW,0.6875642100054085,0.3124357899945916,1338698.32463608,0.0,0.35
Holstein 1 Solar Farm,2025,2025-06-01,SOILING,MEDIUM,0.6903291910415729,0.30967080895842714,1329799.491695226,1303960.1538461535,0.85
Athos Solar Project,2024,2024-03-01,BOS_INTERMITTENT,MEDIUM,0.6949649279873689,0.3050350720126312,1314173.0448733422,1288804.391343326,0.7
Prospero Solar,2020,2020-06-01,UNATTRIBUTED,LOW,0.9619737901729728,0.03802620982702726,1291170.4859661798,0.0,0.35
Greasewood Solar,2025,2025-02-01,OUTAGE_FULL,HIGH,0.7266977414908411,0.27330225850915896,1283028.3781101645,1259322.4783848324,0.9
