site,signature,n_blocks,age_years,horizon_months,R_now,R_future,cond_prob_failure,expected_failures,expected_failures_block_level,beta,eta,distribution,loglik,stratum,credibility_Z,left_truncated
Zeuber,BLOCK_OUTAGE,2,2.001,12,0.839833,0.758934,0.096327,0.096327,0.1927,1.1292,9.3899,weibull,,fleet,0.383,True
Zeuber,BLOCK_OUTAGE,2,2.001,24,0.839833,0.682724,0.187072,0.187072,0.3741,1.1292,9.3899,weibull,,fleet,0.383,True
Zeuber,BLOCK_OUTAGE,2,2.001,36,0.839833,0.612015,0.271266,0.271266,0.5425,1.1292,9.3899,weibull,,fleet,0.383,True
"10 Briggs Solar NG, LLC (East)",SOILING,5,4.501,12,0.84553,0.80737,0.045132,0.045132,0.2257,1.2118,19.6348,weibull,,fleet,0.9,True
"10 Briggs Solar NG, LLC (East)",SOILING,5,4.501,24,0.84553,0.769528,0.089887,0.089887,0.4494,1.2118,19.6348,weibull,,fleet,0.9,True
"10 Briggs Solar NG, LLC (East)",SOILING,5,4.501,36,0.84553,0.732291,0.133927,0.133927,0.6696,1.2118,19.6348,weibull,,fleet,0.9,True
"10 Briggs Solar NG, LLC (East)",TRACKER,5,4.501,12,0.87461,0.846861,0.031728,0.031728,0.1586,1.0748,29.209,weibull,,fleet,0.9,True
"10 Briggs Solar NG, LLC (East)",TRACKER,5,4.501,24,0.87461,0.819628,0.062865,0.062865,0.3143,1.0748,29.209,weibull,,fleet,0.9,True
"10 Briggs Solar NG, LLC (East)",TRACKER,5,4.501,36,0.87461,0.792969,0.093346,0.093346,0.4667,1.0748,29.209,weibull,,fleet,0.9,True
"ZV Solar 3, LLC",BOS_INTERMITTENT,6,9.752,12,0.232402,0.19011,0.181979,0.181979,1.0919,1.3211,7.3259,weibull,,fleet,1.0,True
"ZV Solar 3, LLC",BOS_INTERMITTENT,6,9.752,24,0.232402,0.154569,0.334909,0.334909,2.0095,1.3211,7.3259,weibull,,fleet,1.0,True
"ZV Solar 3, LLC",BOS_INTERMITTENT,6,9.752,36,0.232402,0.124953,0.462343,0.462343,2.7741,1.3211,7.3259,weibull,,fleet,1.0,True
"ZV Solar 3, LLC",OUTAGE_FULL,6,9.752,12,0.543589,0.505513,0.070045,0.070045,0.4203,1.153,14.9815,weibull,,fleet,1.0,True
"ZV Solar 3, LLC",OUTAGE_FULL,6,9.752,24,0.543589,0.469615,0.136084,0.136084,0.8165,1.153,14.9815,weibull,,fleet,1.0,True
"ZV Solar 3, LLC",OUTAGE_FULL,6,9.752,36,0.543589,0.435845,0.198209,0.198209,1.1893,1.153,14.9815,weibull,,fleet,1.0,True
"ZV Solar 3, LLC",SOILING,6,9.752,12,0.65165,0.617531,0.052358,0.052358,0.3141,1.2118,19.6348,weibull,,fleet,1.0,True
"ZV Solar 3, LLC",SOILING,6,9.752,24,0.65165,0.584572,0.102936,0.102936,0.6176,1.2118,19.6348,weibull,,fleet,1.0,True
"ZV Solar 3, LLC",SOILING,6,9.752,36,0.65165,0.55282,0.151662,0.151662,0.91,1.2118,19.6348,weibull,,fleet,1.0,True
"ZV Solar 3, LLC",TRACKER,6,9.752,12,0.735231,0.710637,0.033452,0.033452,0.2007,1.0748,29.209,weibull,,fleet,1.0,True
"ZV Solar 3, LLC",TRACKER,6,9.752,24,0.735231,0.686701,0.066007,0.066007,0.396,1.0748,29.209,weibull,,fleet,1.0,True
"ZV Solar 3, LLC",TRACKER,6,9.752,36,0.735231,0.663426,0.097663,0.097663,0.586,1.0748,29.209,weibull,,fleet,1.0,True
"ZV Solar 3, LLC",UNATTRIBUTED,6,9.752,12,0.07364,0.053251,0.276884,0.276884,1.6613,1.2,4.3863,weibull,,fleet,1.0,True
"ZV Solar 3, LLC",UNATTRIBUTED,6,9.752,24,0.07364,0.038272,0.480281,0.480281,2.8817,1.2,4.3863,weibull,,fleet,1.0,True
"ZV Solar 3, LLC",UNATTRIBUTED,6,9.752,36,0.07364,0.027351,0.62858,0.62858,3.7715,1.2,4.3863,weibull,,fleet,1.0,True
Midway Green Solar,BOS_INTERMITTENT,6,4.999,12,0.546828,0.463921,0.151614,0.151614,0.9097,1.3211,7.3259,weibull,,fleet,0.983,True
Midway Green Solar,BOS_INTERMITTENT,6,4.999,24,0.546828,0.390028,0.286745,0.286745,1.7205,1.3211,7.3259,weibull,,fleet,0.983,True
Midway Green Solar,BOS_INTERMITTENT,6,4.999,36,0.546828,0.325237,0.405231,0.405231,2.4314,1.3211,7.3259,weibull,,fleet,0.983,True
Midway Green Solar,OUTAGE_FULL,6,4.999,12,0.754189,0.706014,0.063877,0.063877,0.3833,1.153,14.9815,weibull,,fleet,0.983,True
Midway Green Solar,OUTAGE_FULL,6,4.999,24,0.754189,0.659785,0.125174,0.125174,0.751,1.153,14.9815,weibull,,fleet,0.983,True
Midway Green Solar,OUTAGE_FULL,6,4.999,36,0.754189,0.615657,0.183684,0.183684,1.1021,1.153,14.9815,weibull,,fleet,0.983,True
Midway Green Solar,TRACKER,6,4.999,12,0.860723,0.833222,0.031951,0.031951,0.1917,1.0748,29.209,weibull,,fleet,0.983,True
Midway Green Solar,TRACKER,6,4.999,24,0.860723,0.80627,0.063265,0.063265,0.3796,1.0748,29.209,weibull,,fleet,0.983,True
Midway Green Solar,TRACKER,6,4.999,36,0.860723,0.779912,0.093887,0.093887,0.5633,1.0748,29.209,weibull,,fleet,0.983,True
Midway Solar - TX,BLOCK_OUTAGE,94,7.001,12,0.487825,0.434046,0.110243,0.110243,10.3629,1.1292,9.3899,weibull,,fleet,1.0,True
Midway Solar - TX,BLOCK_OUTAGE,94,7.001,24,0.487825,0.385459,0.209841,0.209841,19.725,1.1292,9.3899,weibull,,fleet,1.0,True
Midway Solar - TX,BLOCK_OUTAGE,94,7.001,36,0.487825,0.341724,0.299495,0.299495,28.1526,1.1292,9.3899,weibull,,fleet,1.0,True
Zeuber,SOILING,2,2.001,12,0.939096,0.902414,0.039061,0.039061,0.0781,1.2118,19.6348,weibull,,fleet,0.383,True
Zeuber,SOILING,2,2.001,24,0.939096,0.864596,0.079331,0.079331,0.1587,1.2118,19.6348,weibull,,fleet,0.383,True
Zeuber,SOILING,2,2.001,36,0.939096,0.826419,0.119984,0.119984,0.24,1.2118,19.6348,weibull,,fleet,0.383,True
Middleton Airport Solar,TRACKER,3,5.418,12,0.84914,0.821862,0.032125,0.032125,0.0964,1.0748,29.209,weibull,,fleet,1.0,True
Middleton Airport Solar,TRACKER,3,5.418,24,0.84914,0.795154,0.063577,0.063577,0.1907,1.0748,29.209,weibull,,fleet,1.0,True
Middleton Airport Solar,TRACKER,3,5.418,36,0.84914,0.769056,0.094312,0.094312,0.2829,1.0748,29.209,weibull,,fleet,1.0,True
Midway Solar - TX,OUTAGE_FULL,94,7.001,12,0.659723,0.615598,0.066883,0.066883,6.287,1.153,14.9815,weibull,,fleet,1.0,True
Midway Solar - TX,OUTAGE_FULL,94,7.001,24,0.659723,0.573656,0.130459,0.130459,12.2632,1.153,14.9815,weibull,,fleet,1.0,True
Midway Solar - TX,OUTAGE_FULL,94,7.001,36,0.659723,0.533923,0.190685,0.190685,17.9244,1.153,14.9815,weibull,,fleet,1.0,True
Midway Solar - TX,TRACKER,94,7.001,12,0.806233,0.779877,0.032691,0.032691,3.0729,1.0748,29.209,weibull,,fleet,1.0,True
Midway Solar - TX,TRACKER,94,7.001,24,0.806233,0.754146,0.064606,0.064606,6.0729,1.0748,29.209,weibull,,fleet,1.0,True
Midway Solar - TX,TRACKER,94,7.001,36,0.806233,0.729059,0.095722,0.095722,8.9978,1.0748,29.209,weibull,,fleet,1.0,True
"101 Carnegie Center Solar, LLC",SOILING,1,4.082,12,0.861518,0.823336,0.044319,0.044319,0.0443,1.2118,19.6348,weibull,,fleet,0.816,True
"101 Carnegie Center Solar, LLC",SOILING,1,4.082,24,0.861518,0.785321,0.088446,0.088446,0.0884,1.2118,19.6348,weibull,,fleet,0.816,True
"101 Carnegie Center Solar, LLC",SOILING,1,4.082,36,0.861518,0.747801,0.131996,0.131996,0.132,1.2118,19.6348,weibull,,fleet,0.816,True
"101 Carnegie Center Solar, LLC",TRACKER,1,4.082,12,0.886368,0.858426,0.031524,0.031524,0.0315,1.0748,29.209,weibull,,fleet,0.816,True
"101 Carnegie Center Solar, LLC",TRACKER,1,4.082,24,0.886368,0.830968,0.062502,0.062502,0.0625,1.0748,29.209,weibull,,fleet,0.816,True
"101 Carnegie Center Solar, LLC",TRACKER,1,4.082,36,0.886368,0.804064,0.092856,0.092856,0.0929,1.0748,29.209,weibull,,fleet,0.816,True
1009 Yadkin Solar,SOILING,7,4.668,12,0.83915,0.801019,0.04544,0.04544,0.3181,1.2118,19.6348,weibull,,fleet,0.934,True
1009 Yadkin Solar,SOILING,7,4.668,24,0.83915,0.763261,0.090436,0.090436,0.6331,1.2118,19.6348,weibull,,fleet,0.934,True
1009 Yadkin Solar,SOILING,7,4.668,36,0.83915,0.726146,0.134665,0.134665,0.9427,1.2118,19.6348,weibull,,fleet,0.934,True
1009 Yadkin Solar,TRACKER,7,4.668,12,0.869943,0.842275,0.031805,0.031805,0.2226,1.0748,29.209,weibull,,fleet,0.934,True
1009 Yadkin Solar,TRACKER,7,4.668,24,0.869943,0.815134,0.063003,0.063003,0.441,1.0748,29.209,weibull,,fleet,0.934,True
1009 Yadkin Solar,TRACKER,7,4.668,36,0.869943,0.788576,0.093532,0.093532,0.6547,1.0748,29.209,weibull,,fleet,0.934,True
1009 Yadkin Solar,UNATTRIBUTED,7,4.668,12,0.340428,0.256615,0.246199,0.246199,1.7234,1.2,4.3863,weibull,,fleet,0.934,True
1009 Yadkin Solar,UNATTRIBUTED,7,4.668,24,0.340428,0.191474,0.437551,0.437551,3.0629,1.2,4.3863,weibull,,fleet,0.934,True
1009 Yadkin Solar,UNATTRIBUTED,7,4.668,36,0.340428,0.141596,0.584066,0.584066,4.0885,1.2,4.3863,weibull,,fleet,0.934,True
Zumbro Solar Garden,BLOCK_OUTAGE,1,5.667,12,0.56811,0.506959,0.10764,0.10764,0.1076,1.1292,9.3899,weibull,,fleet,1.0,True
Zumbro Solar Garden,BLOCK_OUTAGE,1,5.667,24,0.56811,0.451379,0.205473,0.205473,0.2055,1.1292,9.3899,weibull,,fleet,1.0,True
Zumbro Solar Garden,BLOCK_OUTAGE,1,5.667,36,0.56811,0.401098,0.293978,0.293978,0.294,1.1292,9.3899,weibull,,fleet,1.0,True
(3K) 59 Hetcheltown Rd,OUTAGE_FULL,1,5.081,12,0.750165,0.702141,0.064018,0.064018,0.064,1.153,14.9815,weibull,,fleet,0.783,True
(3K) 59 Hetcheltown Rd,OUTAGE_FULL,1,5.081,24,0.750165,0.656079,0.12542,0.12542,0.1254,1.153,14.9815,weibull,,fleet,0.783,True
(3K) 59 Hetcheltown Rd,OUTAGE_FULL,1,5.081,36,0.750165,0.612129,0.184007,0.184007,0.184,1.153,14.9815,weibull,,fleet,0.783,True
Zumbro Solar Garden,OUTAGE_FULL,1,5.667,12,0.721801,0.674904,0.064973,0.064973,0.065,1.153,14.9815,weibull,,fleet,1.0,True
Zumbro Solar Garden,OUTAGE_FULL,1,5.667,24,0.721801,0.630067,0.127091,0.127091,0.1271,1.153,14.9815,weibull,,fleet,1.0,True
Zumbro Solar Garden,OUTAGE_FULL,1,5.667,36,0.721801,0.587392,0.186214,0.186214,0.1862,1.153,14.9815,weibull,,fleet,1.0,True
Zumbro Solar Garden,BOS_INTERMITTENT,1,5.667,12,0.490466,0.413542,0.156838,0.156838,0.1568,1.3211,7.3259,weibull,,fleet,1.0,True
Zumbro Solar Garden,BOS_INTERMITTENT,1,5.667,24,0.490466,0.345751,0.295056,0.295056,0.2951,1.3211,7.3259,weibull,,fleet,1.0,True
Zumbro Solar Garden,BOS_INTERMITTENT,1,5.667,36,0.490466,0.286862,0.415123,0.415123,0.4151,1.3211,7.3259,weibull,,fleet,1.0,True
Zier Solar,BLOCK_OUTAGE,83,1.667,12,0.867595,0.785501,0.094623,0.094623,7.8537,1.1292,9.3899,weibull,,fleet,0.333,True
Zier Solar,BLOCK_OUTAGE,83,1.667,24,0.867595,0.707592,0.184422,0.184422,15.307,1.1292,9.3899,weibull,,fleet,0.333,True
Zier Solar,BLOCK_OUTAGE,83,1.667,36,0.867595,0.634998,0.268094,0.268094,22.2518,1.1292,9.3899,weibull,,fleet,0.333,True
Zier Solar,BOS_INTERMITTENT,83,1.667,12,0.868057,0.76857,0.114609,0.114609,9.5126,1.3211,7.3259,weibull,,fleet,0.333,True
Zier Solar,BOS_INTERMITTENT,83,1.667,24,0.868057,0.66974,0.22846,0.22846,18.9622,1.3211,7.3259,weibull,,fleet,0.333,True
Zier Solar,BOS_INTERMITTENT,83,1.667,36,0.868057,0.576234,0.33618,0.33618,27.9029,1.3211,7.3259,weibull,,fleet,0.333,True
Zier Solar,OUTAGE_FULL,83,1.667,12,0.923544,0.872211,0.055583,0.055583,4.6133,1.153,14.9815,weibull,,fleet,0.333,True
Zier Solar,OUTAGE_FULL,83,1.667,24,0.923544,0.82089,0.111153,0.111153,9.2257,1.153,14.9815,weibull,,fleet,0.333,True
